,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
489,Gardner Minshew II,JAX,24,qb,9,8,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,5
490,Donte Moncrief,NWE,27,,6,0,2,1,50.0%,15,15.0,0,1,15,7.5,0.2,2.5,0
491,Isaac Nauta,DET,23,,7,0,2,1,50.0%,3,3.0,0,0,3,1.5,0.1,0.4,0
492,Siran Neal,BUF,26,,16,0,1,1,100.0%,13,13.0,0,1,13,13.0,0.1,0.8,0
493,Scottie Phillips,HOU,23,,8,0,1,1,100.0%,7,7.0,0,0,7,7.0,0.1,0.9,0
494,,,,,,,,,,,,,,,,,,
495,Dak Prescott ,DAL,27,qb,5,5,1,1,100.0%,11,11.0,1,1,11,11.0,0.2,2.2,3
496,James Proche,BAL,24,,14,0,3,1,33.3%,14,14.0,0,1,14,4.7,0.1,1.0,0
497,Craig Reynolds,JAX,24,,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0
498,Aaron Rodgers *+,GNB,37,QB,16,16,1,1,100.0%,-6,-6.0,0,0,-6,-6.0,0.1,-0.4,4
499,Jaleel Scott,NYJ,25,wr,1,1,1,1,100.0%,16,16.0,0,1,16,16.0,1.0,16.0,0
500,Anthony Sherman,KAN,32,rb,13,1,2,1,50.0%,5,5.0,1,1,5,2.5,0.1,0.4,0
501,Vyncint Smith,NYJ,24,,7,0,3,1,33.3%,13,13.0,0,1,13,4.3,0.1,1.9,0
502,Jeremy Sprinkle,WAS,26,te,16,6,3,1,33.3%,6,6.0,0,0,6,2.0,0.1,0.4,0
503,Ryan Tannehill,TEN,32,QB,16,16,1,1,100.0%,0,0.0,0,0,0,0.0,0.1,0.0,6
504,J.J. Taylor,NWE,22,,6,0,2,1,50.0%,4,4.0,0,0,4,2.0,0.2,0.7,0
505,Jordan Thomas,2TM,24,,6,0,2,1,50.0%,3,3.0,1,1,3,1.5,0.2,0.5,0
506,Colin Thompson,CAR,27,te,15,4,2,1,50.0%,7,7.0,1,1,7,3.5,0.1,0.5,0
507,Zeke Turner,ARI,24,,16,0,1,1,100.0%,26,26.0,0,1,26,26.0,0.1,1.6,0
508,Austin Walter,SFO,24,,4,0,1,1,100.0%,27,27.0,0,1,27,27.0,0.3,6.8,0
509,Jonathan Ward,ARI,23,,14,0,1,1,100.0%,11,11.0,1,1,11,11.0,0.1,0.8,0
510,Trevon Wesco,NYJ,25,te,12,4,2,1,50.0%,5,5.0,0,0,5,2.5,0.1,0.4,0
511,Dede Westbrook,JAX,27,,2,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.5,2.0,1
512,Antonio Williams,BUF,23,,1,0,1,1,100.0%,20,20.0,0,1,20,20.0,1.0,20.0,0
513,Luke Willson,2TM,30,,8,0,3,1,33.3%,12,12.0,0,0,12,4.0,0.1,1.5,0
514,T.J. Yeldon,BUF,27,,3,0,4,1,25.0%,22,22.0,1,1,22,5.5,0.3,7.3,1
