,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
495,,,,,,,,,,,,,,,,,,,,,,,
496,Tyeler Davison,ATL,28,DT,16,15,,,,,,,,,,,0.5,36,15,21,2,2,
497,Sam Franklin,CAR,24,ss,14,4,0,0,0,0,1,,,,,,1.0,23,15,8,1,1,
498,Randy Gregory,DAL,28,,10,0,0,0,0,0,1,3,0,0,0,0,3.5,21,15,6,4,12,
499,Javelin Guidry,NYJ,22,db,11,2,,,,,,4,0,0,0,0,0.0,22,15,7,0,1,
500,D.J. Hayden,JAX,30,cb,5,1,0,0,0,0,1,,,,,,0.0,18,15,3,1,1,
501,Marquis Haynes,CAR,27,,15,0,0,0,0,0,1,1,0,2,1,0,4.0,18,15,3,4,5,
502,B.J. Hill,NYG,25,,16,0,0,0,0,0,1,,,,,,1.0,32,15,17,2,3,
503,Malik Jackson,PHI,30,dt,15,6,0,0,0,0,2,0,0,1,0,0,2.5,28,15,13,6,13,
504,Jordan Jenkins,NYJ,26,OLB,12,12,0,0,0,0,1,1,0,0,0,0,2.0,32,15,17,3,6,
505,Devon Kennard,ARI,29,olb,13,4,,,,,,,,,,,3.0,19,15,4,5,9,
506,Javon Kinlaw ,SFO,23,DT,14,12,1,27,1,27,4,,,,,,1.5,33,15,18,3,4,
507,Steve McLendon,2TM,34,,15,6,,,,,,,,,,,0.0,31,15,16,2,0,
508,Trent Murphy,BUF,30,de,10,9,,,,,,,,,,,2.0,19,15,4,3,6,
509,Jacob Phillips ,CLE,21,olb,9,3,0,0,0,0,1,,,,,,0.0,25,15,10,1,1,
510,Jeremy Reaves,WAS,24,fs,9,3,1,0,0,0,2,,,,,,1.0,25,15,10,1,1,
511,Danny Shelton,DET,27,DT,12,12,0,0,0,0,1,,,,,,1.0,37,15,22,2,4,
512,James Vaughters,CHI,27,,14,0,,,,,,,,,,,1.5,22,15,7,2,2,
513,K'Von Wallace,PHI,23,db,15,3,,,,,,0,0,1,0,0,0.0,21,15,6,0,0,
514,Brandon Watson,JAX,25,cb,16,1,,,,,,,,,,,0.0,24,15,9,0,0,
515,Armani Watts,KAN,24,ss,16,1,0,0,0,0,1,,,,,,0.0,17,15,2,0,0,
516,Oren Burks,GNB,25,,16,0,,,,,,2,0,0,0,0,0.0,21,14,7,1,0,
517,Jadeveon Clowney,TEN,27,de,8,8,0,0,0,0,4,1,0,0,0,0,0.0,19,14,5,4,6,
518,John Cominsky,ATL,25,dt,13,1,,,,,,0,0,1,0,0,1.0,28,14,14,3,3,
519,Christian Covington ,CIN,27,NT,16,14,,,,,,,,,,,0.0,39,14,25,0,1,
520,Byron Cowart,NWE,24,DT,14,14,0,0,0,0,1,,,,,,1.0,27,14,13,3,3,
521,Zaire Franklin,IND,24,olb,16,2,,,,,,,,,,,0.0,19,14,5,0,0,
522,Kristian Fulton ,TEN,22,cb,6,2,1,44,0,44,1,,,,,,1.0,16,14,2,1,1,
523,Dennis Gardeck,ARI,26,,14,0,,,,,,0,0,1,0,0,7.0,16,14,2,7,10,
524,Kevin Givens ,SFO,23,dt,13,1,0,0,0,0,1,0,0,1,0,0,1.0,19,14,5,5,3,
525,Bryce Hager,NYJ,28,ilb,10,2,0,0,0,0,1,,,,,,0.5,23,14,9,1,1,
526,,,,,,,,,,,,,,,,,,,,,,,
527,DaVon Hamilton ,JAX,23,nt,11,6,0,0,0,0,1,0,0,1,0,0,1.0,30,14,16,2,5,
528,Shaun Dion Hamilton,WAS,25,olb,14,3,,,,,,,,,,,0.0,21,14,7,2,1,
529,Harrison Hand,MIN,22,cb,14,1,1,4,0,4,3,,,,,,0.0,17,14,3,0,0,
530,Maurice Hurst Jr.,LVR,25,dt,11,3,0,0,0,0,1,,,,,,0.5,27,14,13,1,6,
531,Chris Jackson ,TEN,22,cb,11,3,0,0,0,0,1,,,,,,0.0,24,14,10,1,0,
532,Quinton Jefferson,BUF,27,dt,16,4,0,0,0,0,1,1,0,1,0,0,3.0,23,14,9,3,6,
533,D.J. Jones,SFO,25,DT,14,14,0,0,0,0,1,,,,,,3.0,20,14,6,7,3,
534,Dean Lowry,GNB,26,DE,16,16,0,0,0,0,2,,,,,,3.0,36,14,22,2,4,
535,Cassius Marsh,3TM,28,,8,1,,,,,,1,0,0,0,0,0.0,16,14,2,0,1,
536,Xavier McKinney,NYG,21,db,6,4,1,0,0,0,1,,,,,,0.0,25,14,11,1,0,
537,George Odum+,IND,27,,16,0,,,,,,1,0,0,0,0,0.0,21,14,7,0,0,
538,Robert Quinn,CHI,30,DE,15,13,,,,,,3,0,1,0,0,2.0,20,14,6,0,6,
539,Tershawn Wharton,KAN,22,dt,16,1,,,,,,1,1,1,-3,0,2.0,27,14,13,4,4,
540,Jahleel Addae,LAC,30,,11,0,1,3,0,3,2,,,,,,0.5,21,13,8,0,1,
541,Justin Bethel,NWE,30,,16,0,,,,,,,,,,,0.0,14,13,1,0,0,
542,Shilique Calhoun,NWE,28,,10,0,,,,,,2,0,0,0,0,2.0,18,13,5,1,3,
543,Carter Coughlin,NYG,23,olb,14,2,,,,,,,,,,,1.0,17,13,4,2,2,
544,Tyrel Dodson,BUF,22,mlb,10,2,0,0,0,0,2,,,,,,1.0,22,13,9,2,0,
545,Troy Dye,MIN,24,ilb,11,5,0,0,0,0,2,,,,,,0.0,28,13,15,0,1,
546,Brandon Facyson,LAC,26,,13,0,,,,,,1,0,0,0,0,0.0,16,13,3,0,0,
547,Matthias Farley,NYJ,28,fs,16,2,0,0,0,0,3,,,,,,0.0,24,13,11,0,1,
548,Rudy Ford,PHI,26,ss,8,1,,,,,,,,,,,0.0,15,13,2,1,0,
549,Porter Gustin,CLE,23,de,14,3,,,,,,,,,,,0.0,30,13,17,2,2,
550,Davontae Harris,2TM,25,,11,2,0,0,0,0,1,1,0,0,0,0,0.0,14,13,1,0,0,
551,Dane Jackson,BUF,24,cb,5,2,1,6,0,6,5,0,0,1,0,0,0.0,15,13,2,1,0,
552,Justin Layne,PIT,22,,16,0,,,,,,,,,,,0.0,22,13,9,0,0,
553,Jacob Martin,HOU,25,de,14,1,0,0,0,0,1,1,0,1,0,0,3.0,20,13,7,3,3,
554,Mike Pennel,KAN,29,nt,14,1,,,,,,,,,,,0.0,29,13,16,0,1,
555,Sheldon Rankins,NOR,26,dt,12,1,0,0,0,0,1,,,,,,1.5,20,13,7,3,9,
556,Alton Robinson,SEA,22,de,14,1,,,,,,1,0,0,0,0,4.0,22,13,9,5,4,
557,,,,,,,,,,,,,,,,,,,,,,,
558,Rashard Robinson,DAL,25,cb,4,3,,,,,,,,,,,0.0,20,13,7,0,0,
559,Bravvion Roy,CAR,24,dt,15,9,,,,,,,,,,,1.0,29,13,16,2,5,
560,D.J. Swearinger,NOR,29,,11,0,0,0,0,0,1,,,,,,0.0,14,13,1,0,0,
561,Kindle Vildor,CHI,23,cb,16,1,0,0,0,0,1,,,,,,0.0,17,13,4,0,0,
562,Justin Zimmer,BUF,28,,12,0,,,,,,1,0,0,0,0,1.0,21,13,8,3,7,
563,Dakota Allen,JAX,25,olb,13,2,,,,,,,,,,,0.0,18,12,6,3,1,
564,Austin Bryant,DET,24,de,6,1,,,,,,,,,,,0.0,17,12,5,1,1,
565,K'Lavon Chaisson ,JAX,21,de,16,3,0,0,0,0,1,,,,,,1.0,19,12,7,3,9,
566,Doug Costin,JAX,23,dt,12,9,0,0,0,0,2,0,0,1,0,0,0.0,32,12,20,3,1,
567,Vinny Curry,PHI,32,de,11,3,,,,,,0,0,1,0,0,3.0,16,12,4,3,10,
568,Marcus Davenport,NOR,24,de,11,1,0,0,0,0,2,,,,,,1.5,21,12,9,3,8,
569,Brandon Dunn,HOU,28,NT,13,13,,,,,,0,0,1,0,0,0.0,26,12,14,0,3,
570,Trey Flowers,DET,27,de,7,5,0,0,0,0,1,2,0,1,4,0,2.0,22,12,10,3,3,
571,Dante Fowler,ATL,26,DE,14,13,0,0,0,0,1,1,0,0,0,0,3.0,23,12,11,4,8,
572,Da'Shawn Hand,DET,25,de,10,1,,,,,,1,0,0,0,0,0.0,19,12,7,1,0,
573,DeAndre Houston-Carson,CHI,27,,16,0,1,0,0,0,3,0,0,1,0,0,0.0,15,12,3,0,0,
574,Bryce Huff,NYJ,22,,14,0,0,0,0,0,1,,,,,,2.0,16,12,4,4,4,
575,Michael Jacquet,PHI,23,db,7,2,0,0,0,0,3,1,0,0,0,0,1.0,18,12,6,0,1,
576,Joshua Kalu,TEN,25,,15,0,,,,,,1,0,0,0,0,0.0,16,12,4,0,0,
577,Kingsley Keke,GNB,24,de,15,9,0,0,0,0,2,1,0,0,0,0,4.0,21,12,9,3,8,
578,Hercules Mata'afa,MIN,25,dt,13,1,,,,,,,,,,,2.5,24,12,12,3,6,
579,Tyler Matakevich,BUF,28,,16,0,0,0,0,0,2,,,,,,0.0,23,12,11,0,0,
580,Whitney Mercilus,HOU,30,OLB,13,12,0,0,0,0,1,0,1,1,0,0,4.0,21,12,9,5,7,
581,Tim Settle,WAS,23,dt,16,1,,,,,,,,,,,5.0,19,12,7,5,7,
582,Armon Watts,MIN,24,,16,0,,,,,,,,,,,0.5,31,12,19,0,2,
583,Joejuan Williams ,NWE,23,,15,0,0,0,0,0,2,,,,,,0.0,18,12,6,0,0,
584,Nick Williams,DET,30,DT,14,13,0,0,0,0,2,,,,,,1.0,23,12,11,2,3,
585,Shawn Williams,CIN,29,,13,0,0,0,0,0,1,,,,,,0.0,16,12,4,0,0,
586,Olasunkanmi Adeniyi,PIT,23,olb,15,1,,,,,,1,0,0,0,0,0.0,16,11,5,1,0,
587,Nick Bellore*,SEA,31,,16,0,,,,,,0,0,1,0,0,0.0,14,11,3,0,0,
588,,,,,,,,,,,,,,,,,,,,,,,
589,Lorenzo Carter ,NYG,25,olb,5,5,0,0,0,0,1,,,,,,1.0,15,11,4,2,4,
590,Sean Davis,PIT,27,fs,16,1,0,0,0,0,1,0,0,1,0,0,0.0,12,11,1,0,0,
591,Mario Edwards,CHI,26,,15,0,0,0,0,0,1,,,,,,4.0,17,11,6,6,7,
592,A.J. Epenesa ,BUF,22,de,14,1,0,0,0,0,1,,,,,,1.0,14,11,3,3,4,
593,Neville Gallimore ,DAL,23,dt,14,9,0,0,0,0,1,,,,,,0.5,28,11,17,4,4,
594,Carl Granderson,NOR,24,,15,0,0,0,0,0,1,2,0,0,0,0,5.0,14,11,3,3,9,
595,Darius Harris,KAN,24,ilb,4,2,0,0,0,0,1,0,0,1,15,0,0.0,14,11,3,0,0,
596,Noah Igbinoghene ,MIA,21,cb,16,2,0,0,0,0,2,0,0,2,5,0,0.0,13,11,2,0,0,
597,Darryl Johnson,BUF,23,,15,0,,,,,,,,,,,1.0,14,11,3,3,3,
598,Dion Jordan,SFO,30,de,13,1,0,0,0,0,1,1,0,1,0,0,3.0,17,11,6,3,5,
599,Zach Kerr ,CAR,30,dt,13,4,0,0,0,0,2,1,0,0,0,0,2.0,32,11,21,2,9,
600,Sean Lee ,DAL,34,olb,9,2,,,,,,,,,,,0.0,20,11,9,0,1,
601,Ryan Lewis,NYG,26,cb,5,3,0,0,0,0,1,,,,,,0.0,13,11,2,0,0,
602,Justin Madubuike,BAL,23,dt,10,3,,,,,,,,,,,1.0,19,11,8,2,2,
603,Sherrick McManis,CHI,33,,11,0,1,0,0,0,1,1,0,1,0,0,0.0,12,11,1,0,0,
604,Anthony Nelson,TAM,23,olb,16,1,0,0,0,0,1,,,,,,1.0,18,11,7,2,7,
605,Charles Omenihu,HOU,23,de,15,5,0,0,0,0,2,,,,,,4.0,17,11,6,5,16,
606,Harrison Phillips,BUF,24,dt,12,3,,,,,,0,0,1,0,0,0.0,18,11,7,0,4,
607,John Reid,HOU,24,cb,13,1,0,0,0,0,1,,,,,,0.0,13,11,2,0,0,
608,Patrick Robinson,NOR,33,cb,12,4,2,0,0,0,4,,,,,,0.0,14,11,3,1,0,
609,Nick Scott,LAR,25,,15,0,,,,,,,,,,,0.0,16,11,5,0,0,
610,Vernon Scott,GNB,23,,15,0,,,,,,,,,,,1.0,13,11,2,2,1,
611,Tye Smith,TEN,27,cb,12,3,0,5,0,5,1,,,,,,0.0,15,11,4,1,0,
612,Tedric Thompson,KAN,25,,8,0,,,,,,,,,,,0.0,13,11,2,0,0,
613,Xavier Williams,2TM,28,,12,3,,,,,,0,0,1,0,0,1.0,24,11,13,0,1,
614,Ross Blacklock ,HOU,22,dt,15,1,,,,,,,,,,,0.0,14,10,4,1,2,
615,Taven Bryan,JAX,24,dt,16,8,,,,,,,,,,,0.5,18,10,8,3,6,
616,Joe Giles-Harris,JAX,23,lb,9,3,,,,,,,,,,,1.0,20,10,10,2,5,
617,Davon Godchaux,MIA,26,nt,5,5,,,,,,,,,,,0.0,16,10,6,1,2,
618,Jonathan Greenard ,HOU,23,olb,13,1,0,0,0,0,1,,,,,,1.0,19,10,9,2,3,
619,,,,,,,,,,,,,,,,,,,,,,,
620,Anfernee Jennings ,NWE,23,olb,14,4,,,,,,,,,,,0.0,20,10,10,0,1,
621,Arden Key,LVR,24,,14,0,0,0,0,0,2,,,,,,0.0,15,10,5,2,11,
622,Miles Killebrew,DET,27,,15,0,,,,,,,,,,,0.0,12,10,2,0,0,
623,Kevin Minter,TAM,30,ilb,16,1,0,0,0,0,1,,,,,,0.0,15,10,5,0,0,
624,Efe Obada,CAR,28,de,16,1,,,,,,1,0,2,54,0,5.5,18,10,8,4,15,
625,Corey Peters,ARI,32,nt,9,9,0,0,0,0,1,,,,,,2.0,15,10,5,3,4,
626,Jordan Phillips,ARI,28,dt,9,9,0,0,0,0,1,2,0,1,0,0,2.0,11,10,1,1,3,
627,Mike Purcell,DEN,29,nt,6,6,,,,,,,,,,,1.0,15,10,5,2,1,
628,Josiah Scott,JAX,21,,6,0,,,,,,,,,,,0.0,11,10,1,1,0,
629,Jabaal Sheard,2TM,31,,10,3,0,0,0,0,1,1,0,0,0,0,1.5,19,10,9,2,6,
630,Kevin Strong,DET,24,dt,6,1,,,,,,,,,,,1.0,15,10,5,1,2,
631,Adarius Taylor,CAR,30,mlb,13,2,,,,,,,,,,,0.0,19,10,9,1,0,
632,Tramon Williams,BAL,37,,6,0,0,0,0,0,1,,,,,,0.0,14,10,4,0,2,
633,Tashawn Bower,NWE,25,de,7,3,0,0,0,0,1,,,,,,0.0,11,9,2,1,0,
634,Shaun Bradley,PHI,23,,15,0,,,,,,,,,,,0.0,15,9,6,1,0,
635,Malcom Brown ,NOR,26,DT,13,13,,,,,,,,,,,1.0,27,9,18,3,2,
636,Myles Bryant,NWE,22,,9,0,1,0,0,0,1,,,,,,0.0,12,9,3,0,0,
637,Vernon Butler,BUF,26,dt,14,9,0,0,0,0,1,1,0,0,0,0,0.0,18,9,9,5,2,
638,Ross Cockrell,TAM,29,cb,12,2,0,0,0,0,1,,,,,,0.0,11,9,2,1,1,
639,Adrian Colbert,NYG,27,fs,6,2,,,,,,,,,,,0.0,13,9,4,1,0,
640,Trevon Coley,ARI,26,dt,6,2,,,,,,,,,,,1.0,14,9,5,3,2,
641,William Compton,TEN,31,ilb,12,1,,,,,,0,0,1,0,0,0.0,18,9,9,0,0,
642,Jordan Dangerfield,PIT,30,,15,0,,,,,,,,,,,0.0,10,9,1,0,0,
643,Mike Ford,DET,25,cb,9,1,0,0,0,0,1,,,,,,0.0,12,9,3,0,0,
644,Greg Gaines,LAR,24,,16,0,,,,,,0,0,1,0,0,1.5,18,9,9,1,3,
645,Yetur Gross-Matos ,CAR,22,de,12,7,,,,,,1,0,0,0,0,2.5,24,9,15,2,6,
646,Antonio Hamilton,KAN,27,,16,0,0,0,0,0,1,,,,,,0.0,12,9,3,0,1,
647,Myles Hartsfield,CAR,23,,16,0,0,0,0,0,1,0,0,2,0,0,0.0,14,9,5,1,0,
648,Mike Hughes,MIN,23,cb,4,2,0,0,0,0,1,,,,,,0.0,13,9,4,0,0,
649,Joel Iyiegbuniwe,CHI,25,,16,0,0,0,0,0,1,,,,,,0.0,12,9,3,0,0,
650,,,,,,,,,,,,,,,,,,,,,,,
651,Adoree' Jackson ,TEN,25,cb,3,2,,,,,,,,,,,0.0,12,9,3,0,0,
652,Khalid Kareem,CIN,22,,16,0,,,,,,,,,,,1.0,19,9,10,1,2,
653,Ryan Kerrigan,WAS,32,de,16,1,0,0,0,0,1,0,0,1,6,0,5.5,17,9,8,5,6,
654,Siran Neal,BUF,26,,16,0,0,0,0,0,1,,,,,,0.0,13,9,4,0,1,
655,Hardy Nickerson ,MIN,26,ilb,14,1,1,5,0,5,1,2,0,0,0,0,0.0,14,9,5,0,0,
656,Keisean Nixon,LVR,23,cb,15,1,,,,,,0,2,0,0,0,0.0,14,9,5,0,1,
657,Alex Okafor,KAN,29,,11,0,,,,,,1,0,0,0,0,3.0,16,9,7,1,10,
658,Jalen Reeves-Maybin,DET,25,,16,0,,,,,,,,,,,0.0,10,9,1,0,0,
659,Hassan Ridgeway,PHI,26,,7,0,,,,,,,,,,,1.0,11,9,2,2,1,
660,Duke Shelley,CHI,24,cb,11,2,0,0,0,0,1,,,,,,0.0,16,9,7,0,0,
661,Damion Square,LAC,31,nt,16,1,,,,,,,,,,,1.0,20,9,11,1,2,
662,Vincent Taylor,CLE,26,dt,15,1,,,,,,0,0,1,0,0,0.0,12,9,3,2,1,
663,DeMarcus Walker,DEN,26,de,13,4,,,,,,1,0,0,0,0,4.5,18,9,9,3,5,
664,Nsimba Webster,LAR,24,,16,0,,,,,,0,3,2,0,0,0.0,12,9,3,0,0,
665,Brandon Wilson,CIN,26,,15,0,,,,,,1,0,0,0,0,0.0,13,9,4,0,0,
666,Josh Woods,CHI,24,,15,0,,,,,,0,0,1,0,0,0.0,14,9,5,0,0,
667,Allen Bailey,ATL,31,de,16,4,,,,,,,,,,,1.5,15,8,7,2,5,
668,Cam Brown,NYG,22,,15,0,,,,,,1,0,0,0,0,0.0,12,8,4,0,3,
669,Maliek Collins,LVR,25,DT,12,11,,,,,,,,,,,0.0,15,8,7,0,1,
670,John Franklin-Myers,NYJ,24,de,15,2,0,0,0,0,2,0,0,2,0,0,3.0,19,8,11,5,13,
671,J.T. Gray,NOR,24,,16,0,0,0,0,0,1,0,0,2,0,0,0.0,8,8,0,0,0,
672,Charles Harris,ATL,25,olb,13,1,0,0,0,0,2,,,,,,3.0,18,8,10,3,5,
673,Jaylinn Hawkins,ATL,23,fs,12,2,,,,,,,,,,,0.5,13,8,5,0,1,
674,Lano Hill,SEA,25,,2,0,,,,,,,,,,,0.0,10,8,2,1,0,
675,Khaleke Hudson,WAS,23,olb,16,2,,,,,,,,,,,0.0,14,8,6,2,1,
676,Austin Johnson,NYG,26,,16,0,0,0,0,0,1,1,0,0,0,0,1.0,18,8,10,2,1,
677,Tyler Lancaster,GNB,26,nt,15,3,0,0,0,0,1,,,,,,0.0,23,8,15,0,0,
678,Blake Lynch,MIN,23,lb,4,1,0,0,0,0,1,,,,,,0.0,12,8,4,0,0,
679,Josh Metellus,MIN,22,,15,0,,,,,,0,0,2,0,0,0.0,9,8,1,0,0,
680,Dare Ogunbowale,JAX,26,rb,14,2,,,,,,,,,,,0.0,10,8,2,0,0,
681,,,,,,,,,,,,,,,,,,,,,,,
682,Ogbonnia Okoronkwo,LAR,25,,10,0,0,0,0,0,1,,,,,,1.0,12,8,4,1,3,
683,D.J. Reader,CIN,26,nt,5,5,0,0,0,0,2,,,,,,0.0,19,8,11,1,1,
684,Edmond Robinson,ATL,28,,13,0,,,,,,,,,,,0.0,15,8,7,0,1,
685,Nathan Shepherd,NYJ,27,dt,14,3,,,,,,,,,,,2.5,17,8,9,3,8,
686,Andre Smith,BUF,23,,12,0,,,,,,1,0,0,0,0,0.0,9,8,1,1,0,
687,James Smith-Williams,WAS,23,,14,0,,,,,,,,,,,0.5,10,8,2,3,2,
688,Michael Thomas,HOU,30,,9,0,,,,,,,,,,,0.0,16,8,8,0,0,
689,Jaylen Watkins,LAC,29,ss,3,1,,,,,,,,,,,0.0,8,8,0,0,0,
690,Josh Allen,JAX,23,de,8,7,0,0,0,0,1,,,,,,2.5,13,7,6,2,11,
691,Luq Barcoo,JAX,22,cb,3,1,0,0,0,0,1,,,,,,0.0,10,7,3,1,0,
692,Zack Baun ,NOR,24,olb,15,3,,,,,,,,,,,0.0,12,7,5,1,0,
693,Tony Brown ,CIN,25,cb,13,1,0,0,0,0,1,,,,,,0.0,13,7,6,2,0,
694,Isaiah Buggs,PIT,24,de,10,1,,,,,,,,,,,0.0,11,7,4,0,1,
695,Terrell Burgess ,LAR,22,,7,0,0,0,0,0,1,,,,,,0.0,8,7,1,0,0,
696,Ben Burr-Kirven,SEA,23,,16,0,,,,,,,,,,,0.0,8,7,1,1,0,
697,Stephen Carlson,CLE,24,te,16,2,,,,,,,,,,,0.0,9,7,2,0,0,
698,Jurrell Casey,DEN,31,dt,3,3,0,0,0,0,3,,,,,,0.0,14,7,7,1,2,
699,Anthony Chickillo ,DEN,28,,11,0,0,0,0,0,1,,,,,,1.0,11,7,4,1,1,
700,Tyrone Crawford ,DAL,31,de,16,3,,,,,,,,,,,2.0,14,7,7,2,4,
701,Mike Daniels,CIN,31,DT,11,11,,,,,,,,,,,0.0,17,7,10,1,1,
702,Tae Davis,CLE,24,,13,0,0,0,0,0,1,,,,,,0.0,7,7,0,0,0,
703,Nick Dzubnar,TEN,29,,16,0,,,,,,,,,,,0.0,14,7,7,0,0,
704,Rasheem Green,SEA,23,,10,0,,,,,,0,0,1,0,0,2.0,10,7,3,2,6,
705,Ka'dar Hollman,GNB,26,cb,14,1,0,0,0,0,3,,,,,,0.0,10,7,3,0,0,
706,Margus Hunt,2TM,33,,13,1,0,0,0,0,4,0,0,1,0,0,1.0,9,7,2,3,4,
707,John Jenkins,CHI,31,,11,0,0,0,0,0,1,,,,,,0.0,21,7,14,0,1,
708,Isaiah Johnson,LVR,25,,14,0,0,0,0,0,4,,,,,,0.0,13,7,6,0,0,
709,Thakarius Keyes ,KAN,23,cb,8,1,,,,,,,,,,,0.0,8,7,1,0,0,
710,Rashard Lawrence,ARI,22,nt,9,1,,,,,,,,,,,0.0,9,7,2,1,0,
711,Fabian Moreau,WAS,26,cb,16,1,2,0,0,0,3,,,,,,0.0,9,7,2,0,0,
712,,,,,,,,,,,,,,,,,,,,,,,
713,Rakeem Nunez-Roches,TAM,27,DT,16,11,,,,,,,,,,,0.0,20,7,13,0,3,
714,Dorian O'Daniel,KAN,26,,11,0,,,,,,,,,,,1.0,9,7,2,1,1,
715,Kyle Phillips,NYJ,23,de,7,3,,,,,,,,,,,0.0,11,7,4,3,1,
716,James Pierre,PIT,24,,16,0,,,,,,,,,,,0.0,10,7,3,1,0,
717,LaRoy Reynolds,ATL,30,,16,0,0,0,0,0,1,1,0,1,0,0,0.0,12,7,5,0,0,
718,Curtis Riley,2TM,28,,6,1,,,,,,,,,,,0.0,10,7,3,0,0,
719,Malcolm Roach,NOR,22,,9,0,,,,,,,,,,,0.0,16,7,9,2,2,
720,Craig Robertson,NOR,32,,16,0,,,,,,1,0,0,0,0,0.0,7,7,0,0,0,
721,Roy Robertson-Harris,CHI,27,dt,8,6,,,,,,,,,,,0.0,10,7,3,1,5,
722,E.J. Speed,IND,25,,15,0,,,,,,,,,,,0.0,9,7,2,0,0,
723,Davion Taylor ,PHI,22,olb,12,1,,,,,,,,,,,0.0,10,7,3,0,0,
724,Josh Uche ,NWE,22,olb,9,1,,,,,,,,,,,1.0,9,7,2,2,7,
725,Jihad Ward,BAL,26,,10,0,0,0,0,0,2,,,,,,3.0,16,7,9,4,8,
726,Charles Washington ,ARI,27,,15,0,0,0,0,0,1,1,0,0,0,0,0.0,12,7,5,0,0,
727,Stephen Weatherly,CAR,26,de,9,9,,,,,,,,,,,0.0,17,7,10,1,3,
728,Kyle Wilber,LVR,31,,16,0,,,,,,0,0,1,0,0,0.0,12,7,5,0,0,
729,Jordan Willis,2TM,25,,9,0,,,,,,0,0,1,0,0,2.5,13,7,6,2,5,
730,Antwaun Woods,DAL,27,dt,14,7,,,,,,,,,,,1.0,23,7,16,1,2,
731,Montravius Adams,GNB,25,,8,0,,,,,,,,,,,0.0,11,6,5,2,0,
732,Ryan Anderson,WAS,26,,9,0,,,,,,,,,,,0.0,9,6,3,1,0,
733,Grayland Arnold,PHI,23,db,6,1,0,0,0,0,1,,,,,,0.0,11,6,5,1,0,
734,Genard Avery,PHI,25,,11,0,0,0,0,0,1,,,,,,1.5,12,6,6,2,7,
735,Anthony Barr,MIN,28,olb,2,2,,,,,,,,,,,0.0,6,6,0,0,0,
736,Daren Bates,TEN,30,,13,0,,,,,,,,,,,0.0,8,6,2,0,0,
737,Henry Black,GNB,23,,8,0,,,,,,1,0,0,0,0,0.0,8,6,2,0,0,
738,Amani Bledsoe,CIN,22,de,14,4,0,0,0,0,2,,,,,,0.0,17,6,11,0,0,
739,Terrell Bonds,BAL,24,cb,4,1,,,,,,,,,,,0.0,6,6,0,0,0,
740,Cethan Carter ,CIN,25,te,15,5,,,,,,,,,,,0.0,10,6,4,0,0,
741,Dan Chisena,MIN,23,,14,0,,,,,,0,0,1,0,0,0.0,6,6,0,0,0,
742,Adrian Clayborn,CLE,32,de,15,2,0,0,0,0,1,1,0,0,0,0,3.5,12,6,6,3,7,
743,,,,,,,,,,,,,,,,,,,,,,,
744,Ryan Connelly,MIN,25,,14,0,,,,,,,,,,,0.0,6,6,0,0,0,
745,Brandon Copeland,NWE,29,olb,6,4,,,,,,,,,,,0.0,12,6,6,1,0,
746,Nate Ebner,NYG,32,,16,0,0,0,0,0,1,,,,,,0.0,8,6,2,0,0,
747,Mike Edwards,TAM,24,,16,0,2,67,0,37,5,0,1,1,31,0,0.0,11,6,5,0,0,
748,Daniel Ekuale ,JAX,26,dt,9,5,,,,,,,,,,,1.0,13,6,7,1,1,
749,Jordan Elliott ,CLE,23,dt,16,1,,,,,,,,,,,0.0,15,6,9,0,0,
750,Justin Ellis,BAL,30,nt,13,3,0,0,0,0,1,,,,,,0.0,17,6,11,0,0,
751,Clayton Fejedelem,MIA,27,,13,0,,,,,,1,0,1,0,0,0.0,10,6,4,0,0,
752,Demetrius Flannigan-Fowles,SFO,24,ss,11,1,,,,,,,,,,,0.0,9,6,3,0,0,
753,Leki Fotu,ARI,22,,11,0,,,,,,,,,,,1.0,11,6,5,4,3,
754,Jordan Glasgow,IND,24,,13,0,,,,,,,,,,,0.0,9,6,3,0,0,
755,C.J. Goodwin,DAL,30,,16,0,,,,,,,,,,,0.0,9,6,3,0,0,
756,Shaquem Griffin,SEA,25,,14,0,0,0,0,0,1,,,,,,1.0,9,6,3,1,3,
757,Nate Hall,HOU,24,,10,0,,,,,,1,0,0,0,0,2.0,11,6,5,1,2,
758,Justin Hardee,NOR,26,,10,0,,,,,,,,,,,0.0,8,6,2,0,0,
759,Justice Hill,BAL,23,,12,0,,,,,,1,0,0,0,0,0.0,9,6,3,0,0,
760,Trysten Hill,DAL,22,dt,5,5,,,,,,,,,,,0.0,11,6,5,1,3,
761,Robert Jackson,CLE,27,cb,10,1,0,0,0,0,1,,,,,,0.0,6,6,0,0,0,
762,Elijah Lee,2TM,24,,12,0,,,,,,,,,,,0.0,8,6,2,0,0,
763,David Long,LAR,22,cb,16,1,,,,,,,,,,,0.0,7,6,1,0,0,
764,Damontre Moore,SEA,28,,10,0,,,,,,1,0,0,0,0,1.0,9,6,3,1,7,
765,Calvin Munson,MIA,26,,16,0,,,,,,,,,,,0.0,9,6,3,0,0,
766,Domata Peko,ARI,36,nt,6,5,,,,,,,,,,,0.0,16,6,10,0,0,
