,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
104,Darius Slay,PHI,29,CB,15,14,1,25,0,25,6,,,,,,0.0,59,53,6,2,0,
105,Jordan Whitehead,TAM,23,SS,16,16,2,2,0,2,4,1,0,1,0,0,2.0,74,53,21,9,3,
106,Carlton Davis,TAM,24,CB,14,14,4,42,0,34,18,,,,,,0.0,68,52,16,3,0,
107,Kyle Fuller ,CHI,28,CB,16,16,1,5,0,5,8,1,0,0,0,0,0.0,65,52,13,0,0,
108,Chauncey Gardner-Johnson,NOR,23,SS,15,13,1,3,0,3,13,,,,,,1.0,66,52,14,5,4,
109,Marshon Lattimore *,NOR,24,CB,14,14,2,13,0,13,11,,,,,,0.0,62,52,10,2,0,
110,Marcus Maye,NYJ,27,FS,16,16,2,0,0,0,11,2,0,1,0,0,2.0,88,52,36,4,2,
111,Patrick Peterson,ARI,30,CB,16,16,3,7,0,7,8,,,,,,0.0,61,52,9,0,0,
112,Buster Skrine,CHI,31,cb,12,3,0,0,0,0,3,1,0,0,0,0,0.0,66,52,14,1,0,
113,Jamel Dean,TAM,24,cb,14,7,1,32,1,32,7,,,,,,0.0,62,51,11,2,0,
114,DeShon Elliott,BAL,23,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,
115,Isaiah Oliver,ATL,24,CB,16,12,0,0,0,0,6,1,0,0,0,0,1.0,70,51,19,4,2,
116,Andrew Sendejo,CLE,33,FS,14,14,0,0,0,0,2,1,0,0,0,0,0.0,67,51,16,0,0,
117,Blessuan Austin,NYJ,24,cb,11,10,0,0,0,0,4,1,0,0,0,0,0.0,63,50,13,3,1,
118,Ja'Whaun Bentley,NWE,24,ILB,13,13,0,0,0,0,2,,,,,,1.5,91,50,41,3,3,
119,Rasul Douglas,CAR,26,CB,14,11,0,0,0,0,9,,,,,,0.0,62,50,12,1,0,
120,Jason Verrett,SFO,29,CB,13,13,2,0,0,0,7,,,,,,0.0,60,50,10,2,0,
121,Kyzir White,LAC,24,olb,11,10,0,0,0,0,3,,,,,,0.5,77,50,27,4,3,
122,Krys Barnes,GNB,22,ilb,13,10,,,,,,1,0,0,0,0,1.0,80,49,31,5,1,
123,,,,,,,,,,,,,,,,,,,,,,,
124,Trevon Diggs,DAL,22,CB,12,11,3,43,0,33,14,1,0,0,0,0,1.0,58,49,9,1,0,
125,Malcolm Smith,CLE,31,olb,15,4,1,2,0,2,2,1,0,0,0,0,1.0,72,49,23,3,1,
126,Michael Davis ,LAC,25,CB,16,14,3,86,1,78,14,,,,,,0.0,64,48,16,2,0,
127,Tashaun Gipson,CHI,30,FS,16,16,2,10,0,9,7,0,0,1,0,0,0.0,66,48,18,0,0,
128,Micah Hyde,BUF,30,FS,15,15,1,33,0,33,5,0,1,0,0,0,0.0,70,48,22,1,0,
129,Tyrann Mathieu*+,KAN,28,SS,15,15,6,70,1,25,9,0,0,1,-2,0,0.0,62,48,14,3,2,
130,Donovan Wilson,DAL,25,ss,14,10,2,5,0,5,3,3,0,2,0,0,3.5,71,48,23,2,3,
131,Xavier Woods,DAL,25,FS,15,15,0,0,0,0,1,,,,,,0.0,72,48,24,2,1,
132,Ugo Amadi,SEA,23,fs,14,5,0,0,0,0,7,1,0,0,0,0,0.0,54,47,7,4,0,
133,Nevin Lawson,LVR,29,cb,14,9,0,0,0,0,4,2,0,1,0,0,1.0,61,47,14,1,1,
134,Julian Love,NYG,22,fs,16,6,1,13,0,13,3,,,,,,0.0,64,47,17,1,0,
135,Eric Murray,HOU,26,FS,14,14,0,0,0,0,2,1,0,0,0,0,2.0,71,47,24,2,4,
136,Vince Williams,PIT,31,ILB,14,14,,,,,,0,0,2,0,0,3.0,70,47,23,14,4,
137,Terrell Edmunds,PIT,23,SS,15,12,2,11,0,7,8,,,,,,1.0,68,46,22,1,1,
138,Karl Joseph,CLE,27,ss,14,8,1,49,0,49,4,0,1,2,0,0,0.0,67,46,21,2,0,
139,Christian Kirksey,GNB,28,OLB,11,11,2,18,0,10,4,,,,,,2.0,77,46,31,2,2,
140,Harold Landry,TEN,24,OLB,16,16,1,0,0,0,5,,,,,,5.5,69,46,23,10,16,
141,Marcus Peters ,BAL,27,CB,14,14,4,17,0,12,9,4,1,2,-3,0,1.0,52,46,6,1,1,
142,D.J. Reed,SEA,24,fs,10,8,2,21,0,20,7,0,1,2,0,0,0.0,62,46,16,2,0,
143,Kyle Van Noy,MIA,29,OLB,14,13,0,0,0,0,6,2,0,2,28,0,6.0,69,46,23,10,10,
144,Damien Wilson,KAN,27,OLB,13,13,0,0,0,0,1,1,0,0,0,0,0.0,73,46,27,3,0,
145,Jayon Brown,TEN,25,ilb,10,10,1,0,0,0,8,2,0,0,0,0,1.0,76,45,31,5,2,
146,Cole Holcomb,WAS,24,ilb,11,10,1,0,0,0,1,,,,,,2.5,72,45,27,6,4,
147,Kevin King ,GNB,25,CB,11,11,0,0,0,0,5,1,0,1,48,0,0.0,57,45,12,0,1,
148,Devin McCourty,NWE,33,FS,16,16,2,62,1,43,6,,,,,,0.0,68,45,23,2,0,
149,Amani Oruwariye,DET,24,CB,16,15,1,0,0,0,7,,,,,,0.0,53,45,8,1,0,
150,Jimmie Ward,SFO,29,FS,14,14,0,0,0,0,4,2,0,0,0,0,0.0,73,45,28,0,1,
151,Jarrod Wilson,JAX,26,SS,12,12,1,48,0,48,3,,,,,,0.0,69,45,24,2,0,
